text,labels
WASHINGTON ― House Minority Leader Nancy Pelosi (D-Calif.) was re-elected to her leadership post Wednesday morning.,no-bias
House Majority Leader Eric Cantor was beaten Tuesday night by a political novice who is currently working as an economics professor at a small Virginia college.,contains-bias
"The following month, Comey testified before the Senate that Trump had requested that Comey put an end to the agency’s investigation into Flynn.",no-bias
"And I keep on saying this, the single most important thing they can do to avert that is to stabilize housing prices.""",no-bias
Trump in the past has referred to alleged “shadow banning” by Twitter as “discriminatory and illegal.”,no-bias
"“Committed and loving gay and lesbian married couples will now be treated equally under our nation’s federal tax laws, regardless of what state they call home,” said Chad Griffin, the president of the Human Rights Campaign.",contains-bias
"The bill cleared the House earlier this month, also by voice vote.",no-bias
"“President Trump must be willing to confront Putin from a position of strength and demonstrate that there will be a serious price to pay for his ongoing aggression towards the United States and democracies around the world,” Mr. McCain said in a statement.",no-bias
“It’s not worth having a party divided when we have so many issues we can come together on.”,no-bias
"Some Republicans on Capitol Hill — including Mr. Gowdy — are growing frustrated with Reince Priebus, the chairman of the Republican National Committee, who they contend is politicizing the email issue.",no-bias
"Clinton, in turn, affirmed their claims, saying budget issues are a ""bipartisan problem.""",no-bias
"“You can’t really blame Nancy Pelosi for gerrymandering and for the national election,” Rep. Hank Johnson (D-Ga.) told reporters.",no-bias
"""However, it appears the plaintiffs' primary grievance stems from non-enforcement of federal laws regarding marijuana, as opposed to choices made by the voters of Colorado.""",no-bias
"Obama told Senate Democrats this week that he believes that Boehner will make sure immigration reform is passed this year, according to The Hill, a a political publication in Washington, D.C.",no-bias
"""The mistake I made was in the words I said, not in the heart I hold.",contains-bias
"“Absolutely not,” Mr. Pence said, adding later: “I signed the bill.",no-bias
“We will be more proactive and not back down.”,no-bias
"During that race, Grimm has acknowledged receiving $250,000 to $300,000 in contributions from followers of an Israeli rabbi, Yoshiyahu Yosef Pinto.",no-bias
"There's no indication yet that it will make it to the floor anytime soon, but if it did come up before a vote on the Bush tax cuts, it would put Brown in the tough spot of voting against his legislation or breaking with his party.",no-bias
"Earlier this month, Clinton acknowledged that she sent or received roughly 60,000 related emails, turning over roughly half to the State Department and deleting about the same number of “personal” ones.",no-bias
"“I don’t believe he made any commitment whatsoever and I think it would be foolhardy to believe that he made a commitment,” Harris said.",no-bias
The video was released after Akin canceled a scheduled television interview Monday night.,contains-bias
The ad is a state-wide buy in Iowa that starts Wednesday.,no-bias
Mr. Biden’s visit and the president’s comments come as the administration’s message machine started churning out statements of support.,contains-bias
"Noting that Tuesday is the deadline for the government to reopen in time to prevent federal employees from going a second consecutive pay period without a check, Mick Mulvaney, the acting chief of staff, said Senate Democrats had a tricky decision to make.",no-bias
"Budget numbers, though, actually show the overall diplomatic security budget has ballooned over the past decade.",no-bias
"“The basic perspective that I have over this whole thing, dating back to the shooting incident itself, what we had were largely peaceful vigils and protests that were met with police tactics that were highly aggressive and militaristic,” he said.",contains-bias
"Jonathan Cowan, president of centrist think tank Third Way, hailed AARP's apparent reversal, per the Journal story.",contains-bias
“Our troops continue to provide the capabilities needed to prevail in conflict and sustain strong U.S. global influence.”,no-bias
"Elected officials accused one another of hypocrisy and selective memory on matters of policy, perhaps a bit more gently than they might have on a typical weekday.",no-bias
I’m tired of being caught in the gotcha moments.”,no-bias
"She jousted with Republican lawmakers over who deserved blame for the security problems at the compound, and choked up as she described being at Joint Base Andrews outside Washington when the bodies of the Americans killed in the assault arrived from Libya.",contains-bias
Long and Bosma also conceded they called the press conference because Pence failed to clearly explain the law during an appearance Sunday on ABC’s “This Week.”,contains-bias
"“It was unsettling, and also it seemed to be occupied. ",contains-bias
"Tiny bits of genetic material – traces of sweat, skin cells, saliva, hair or fingerprints – are typically used as a roadmap to the suspect’s door, investigators and bomb experts say.",no-bias
"As for his recent collaboration with Griffin, he doesn't regret it.",no-bias
"And on Wednesday, the White House began a robust process of selling the deal to Democrats -- skeptical, as they are, about an extension of Bush tax cuts for the wealthy and a generous revision of the estate tax.",no-bias
Mr. Labrador tried on Friday to at least engage the Republican conference in a debate over ideas.,no-bias
And we want to … restore those cuts to prevent that raid.,no-bias
Saudi Arabia has threatened to retaliate by selling off hundreds of billions of dollars in American assets.,no-bias
"“We will no longer accept politicians who are all talk and no action, constantly complaining but never doing anything about it,” he said.",no-bias
"The speech did not delve into policy details, and rather reprised objectives from his 2016 campaign on trade, immigration and national security.",contains-bias
"An incredulous Bob Schieffer began his interview with Santorum Sunday by asking, ""What in the world were you talking about?""",contains-bias
"WASHINGTON -- Former Rep. Jesse Jackson Jr. (D-Ill.) pleaded guilty in a federal courtroom Wednesday morning to using campaign funds to purchase an array of personal items including Bruce Lee memorabilia, a $43,000 Rolex watch and a mink cashmere cape.",no-bias
White House spokesman Josh Earnest later said Sanders has the right to make campaign decisions on his own timeline.,no-bias
"That has in turn enraged Republicans, who have happily embraced what they call Mr. Mueller’s absolution of Mr. Trump.",contains-bias
"He later apologized, and even invited Trump “to come to Mexico and to learn about the real Mexico.”",no-bias
"Arkansas, Colorado, Georgia, Hawaii, Michigan, Montana, Nevada, North Carolina, South Dakota, Utah, West Virginia and Wyoming are looking to put a similar law on their books.",no-bias
Mr. Thibodeau said many Senate Republicans were still deciding whether or not Mr. LePage’s apology and promise to seek “spiritual guidance” had allayed their concerns about the governor — a process that could deepen their divide with Republicans in the House and pull the controversy into a second week.,no-bias
"During the radio interview, the governor apologized repeatedly for an expletive-ridden voicemail he recently left for Democratic state Rep. Drew Gattine -- the latest controversy to hang over his office.",contains-bias
"""I've been a conservative my whole life,"" he added.",no-bias
Ms. Lauten wrote what she thought the daughters should have done: “Rise to the occasion.,no-bias
"WASHINGTON — Representative Anthony D. Weiner, trying to put to rest a bizarre episode that is overshadowing his role as liberal pugilist and threatening his dream of becoming New York’s mayor, emphatically denied on Wednesday that he had sent a suggestive photograph to a woman in Washington State but said he could not be sure that he is not the person in the image.",contains-bias
"He was for a time considered as a possible choice for defense secretary or another top job in the Trump administration, and told The San Diego Union-Tribune days after Mr. Trump’s election that he wanted to restore “a warrior culture, a warrior mentality” to the government.",no-bias
"On Capitol Hill, Mr. Obama’s legislative effort will face intense opposition from gun rights groups, including the National Rifle Association, and the lawmakers they support with millions of dollars at election time and who see gun rights as a defining issue in their districts.",no-bias
"One Democrat, Representative Stephen F. Lynch of Massachusetts, even raised the threat of appointing a special prosecutor if Congress continues to feel that the I.R.S. is not being straightforward.",no-bias
"Calling the wall “a powerful and beautifully designed see-through steel barrier on our southern border,” Mr. Trump said: “This is not a 2,000-mile concrete structure from sea to sea.",no-bias
“These new rules show that Republicans are serious about respecting the Constitution.”,contains-bias
"The president asked the congressional leaders to return to the White House on Friday to continue the talks, after Democrats had completed their leadership elections, according to an official who attended the meeting.",no-bias
"On July 22 that year, WikiLeaks released its first batch of Democratic emails.",no-bias
"At times, committee members could hardly conceal their contempt for the I.R.S. and the Obama White House.",no-bias
"“To be clear, she remains ready to appear at a hearing open to the American public.”",no-bias
At least one GOP insider who had direct contact with Steele told the Washington Post that the chairman would indeed be seeking another term atop the RNC.,no-bias
"“I probably have a generational reaction to it, but in any event I’m not in the censorship business,” she told MSNBC’s Joy Reid in a town hall interview set to air in full Friday evening.",no-bias
"Responding to charges that he demonized Mexicans and Muslims, Mr. Trump said, “There is no room for prejudice.”",no-bias
"“If they really cared about creating jobs, they should stop blocking a preservation of unemployment insurance, which would create or save hundred of thousands of jobs,” Jim Manley, a spokesman for Mr. Reid, said in an e-mail. ",no-bias
“Americans have endured decades of broken promises on illegal immigration. ,no-bias
"“The principles aren’t written yet, but in my personal belief, I think it’ll go with legal status that will allow you to work and pay taxes,” he said.",no-bias
"The report by the inspector general, Michael E. Horowitz, that preceded Mr. Strzok’s firing not only criticized his conduct in sending the texts but also his use of personal email accounts to handle sensitive information. ",no-bias
"Before Mr. Carr’s statement, the BuzzFeed report led to a flurry of reactions by senior members of Congress who said that the allegations, if true, could be grounds for initiating impeachment proceedings against Mr. Trump.",no-bias
"Four years ago, when Democrats controlled the Senate and Republican senators were blockading Mr. Obama’s appeals court and executive branch nominees, Democrats changed the chamber’s rules to bar filibusters for such positions — but left the filibuster rule in place for Supreme Court nominations.",no-bias
"“He’s putting together a pretty comprehensive list of what could be done to make a difference in this area,” said Representative Mike Thompson of California, who is heading a Democratic task force in the House.",contains-bias
"Ms. Harris, Ms. Warren and Ms. Gillibrand also joined Mr. Booker and Senator Bernie Sanders in asking supporters to sign their petitions calling for the report’s immediate release.",no-bias
"At a January fundraiser in Texas, Braley urged the attorneys present to contribute to his campaign and contrasted his background with Grassley's.",no-bias
"Neither the White House nor the Pentagon had yet identified which projects may be shelved as a result, but Pentagon lawyers and other officials planned to work over the weekend to identify which construction funds would be diverted.",no-bias
He claimed his personal opinions did not affect his work.,no-bias
"A day earlier, on another ball field some seven miles southwest, a gunman had opened fire on members of the Republican congressional baseball team, striking four people — including Steve Scalise, the majority whip of the House of Representatives — who were there for a practice.",no-bias
"Elizabeth Lauten wrote in a now-deleted Facebook post Friday that Malia and Sasha Obama, aged 16 and 13 respectively, should ""try showing a little class"" and described their outfits as more appropriate for ""a spot at the bar.""",contains-bias
Lawmakers said that what they knew was vague and broad — and that strict rules of classification prevented them from truly debating the programs or conducting proper oversight.,contains-bias
"“Now that the fact of bulk collection has been declassified, we believe that more information about the scale of the collection, and specifically whether it involves the records of ‘millions of Americans,’ should be declassified as well,” they said.",no-bias
The economic recovery he promised has turned into a cascade of ugly credit downgrades and anemic job growth.,contains-bias
"But it also demands that higher levels of government provide help—‘subsidium’—when communities and local governments face problems beyond their means to address such as economic crises, high unemployment, endemic poverty and hunger.”",no-bias
"Several Democrats, including Mr. Kerry, have closed ranks behind him in the hopes of discouraging anyone else from getting in and avoiding a bruising primary.",no-bias
Theater tickets were mischaracterized as “holiday gift certificates.”,no-bias
"This is just another one, but a lot of families disagree politically.",no-bias
"Another Republican, Rep. Justin Amash of Michigan, also tweeted that such an executive order would not be possible.",no-bias
"The president’s comments, made to reporters as he left Washington for a policy announcement in Utah, saw Trump wading deeper into the Flynn investigation even after a weekend tweet landed the White House in hot water.",no-bias
"“They have been magnificent,” he said in his speech.",no-bias
"He has a history of multiple arrests, including for felony grand theft and misdemeanor retail theft.",contains-bias
The move essentially left protections for Dreamers in place for at least the next several months ― giving Democrats less incentive to agree to Trump’s offer of protections to DACA recipients.,no-bias
"They were the first one-on-one deficit talks between Mr. Obama and Mr. Boehner since the summer of 2011, when the search for a “grand bargain” on taxes and spending ultimately failed.",no-bias
President Obama met with top GOP and Democratic congressional leaders Tuesday but left the nitty-gritty negotiations to the panel -- he assigned Treasury Secretary Tim Geithner and budget director Jacob Lew to represent the administration. ,no-bias
"Mr. Rother said the group’s stance on possible cuts, which was first reported in The Wall Street Journal in Friday’s editions, should be seen less as a major change in position than as a reflection of the political and financial realities facing the Social Security system and the country as a whole.",no-bias
"On Monday, Mr. Flynn, in a letter from his legal team, rejected a subpoena for documents from the Senate committee, citing the Fifth Amendment’s protections against self-incrimination.",no-bias
"The morning after Calderón made the comments, the GOP front-runner appeared on MSNBC's ""Morning Joe.""",no-bias
It’ll be for another day.”,no-bias
"For months, Trump has stood by his initial comments about building a border wall and getting Mexico to pay for it.",no-bias
"Chelsea Clinton called it ""vile and wrong"" in a Twitter post.",contains-bias
"It came after an acrimonious week of tit-for-tat politics, in which Ms. Pelosi told the president he could not deliver his State of the Union address in the Capitol until the shutdown was over, and the president retaliated by grounding a plane that was supposed to take Ms. Pelosi on a fact-finding mission to Afghanistan.",contains-bias
"""Congressman, that cable did not come to my attention,"" Clinton testified before the House Foreign Affairs committee.",no-bias
"“The findings of the special counsel conclusively refute your past and present assertions and have exposed you as having abused your position to knowingly promote false information, having damaged the integrity of this committee, and undermined faith in U.S. government institutions,” Representative K. Michael Conaway, Republican of Texas, said to Mr. Schiff.",no-bias
"Mr. Jackson’s wife, Sandi, also accompanied him, and later in the day she pleaded guilty to a charge that she filed false income tax statements during the time that Mr. Jackson was dipping into his campaign treasury.",no-bias
"""My experience dealing every day with real people who were genuinely affected by policies created by government gave me a deep understanding of the fragility of the human spirit and vulnerability of so many families who struggled from week to week,"" he wrote.",no-bias
"They pored over his testimony to the House Intelligence Committee, which is conducting its own investigation into Russian interference in the 2016 election.",no-bias
"Her views were widely circulated and eventually posted on Twitter by a reporter for The Root, a news, opinion and culture site aimed at African-American audiences.",no-bias
The semantic evolution provides both the president and Democrats with a face-saving way forward if they want it.,no-bias
"“The linguist in me noticed that Debbie Wasserman Schultz, the last name is spelled missing a ‘c’ and John Brennan’s name is spelled missing an ‘n’ and that kind of surprised me and I have a feeling that was done on purpose to make this look like somebody who doesn’t really know who these people are and that it wasn’t an honest mistake. ",no-bias
"That measure could pass both houses of Congress if it wins the votes of the half-dozen Republican senators who have criticized the declaration, forcing Mr. Trump to issue the first veto of his presidency.",no-bias
"He won re-election, and two years later further angered Democrats when he endorsed John McCain for president against eventual winner Barack Obama, even speaking at the Republican National Convention.",no-bias
"The question facing Democrats is whether to have a filibuster fight over Judge Gorsuch, highlighting what they consider the theft of a seat they believe Mr. Obama had a right to fill, or whether to save that attention-grabbing tactic for a hypothetical future vacancy if a more liberal justice dies or steps down and President Trump nominates a staunch conservative who would shift the court’s balance.",no-bias
"He also rebuked those who have held power in Washington, saying a small group reaped the rewards of government while “the people did not share” in Washington’s wealth.",no-bias
"FERGUSON, Mo. -- Attorney General Eric Holder said Wednesday that the “eyes of the nation and the world” are on this small suburb of St. Louis where an unarmed teenager was shot and killed by police earlier this month.",no-bias
"“The United States needs a physical barrier,” the president said during the cabinet meeting, comparing the southern border to “a sieve” that allows criminals and drugs to enter the country and facilitates human trafficking.",no-bias
"“We have 50 of our members in tough races, 89 freshmen running for their first re-elections, and we have 32 districts that are in states where there is no presidential campaign going to be run, no big Senate race,” he said.",no-bias
"I crossed the line. I move the line, I cross it. I went way too far.",no-bias
"He did not rule out the possibility that the photo was of him, but said he did not know who could have sent it.",no-bias
"Donald J. Trump is heading to Mexico on Wednesday to meet with President Enrique Peña Nieto, but one of the Mexican leader’s predecessors had a different message for the Republican presidential nominee: You are not welcome here.",no-bias
"God help us,"" said Bloomberg, who added that ""the richest thing about Donald Trump is his hypocrisy.""",contains-bias
"Those actions include requiring federal agencies to hand over relevant data for a background check system; providing law enforcement officials, first responders and school officials with better training for active shooting situations; directing the Centers for Disease Control to research the causes and prevention of gun violence; and many more.",no-bias
The funding battle follows the longest government shutdown in U.S. history.,no-bias
"A Fox News poll released Wednesday shows Obama leading Romney, 49 percent to 44 percent, in Florida.",no-bias
"“Attorney General Barr — release the Mueller report to the American public. Now,” Ms. Warren wrote on Twitter.",no-bias
"He seemed to suggest a double standard is at play, compared with the lack of punishment for Clinton and her aides.",no-bias
"White House aides and allies of Mr. Trump said Saturday that Mr. Trump succeeded in ratcheting up the political pressure on Ms. Pelosi, especially if the Senate succeeded in passing a bill.",no-bias
"Ms. Pelosi defended Ms. Tlaib on Friday at a town hall hosted by MSNBC at the speaker’s alma mater in Washington, Trinity University.",no-bias
"Asked if there was any budget consideration that led her not to increase the security force, she said: ""No.""",no-bias
“Let the Senate know we stand with them for the Dreamers … say THANKS!,no-bias
"“And this whole idea about talking about the social issues and who is going to pay for birth control pills,” Mr. Paul said.",no-bias
She declined to take sides on the Friday vote itself but instead allied herself with Democratic critics of the deal — without actually opposing it.,contains-bias
"Weekly Standard Editor Bill Kristol, who led the charge of conservatives calling for Steele to step down over the remark, said on ""Fox News Sunday"" that Steele still needs to go -- though he said Steele tried to convince him otherwise.",no-bias
"Iowa Democratic Rep. Bruce Braley is under fire after a video surfaced Tuesday of him mocking Sen. Chuck Grassley, R-Iowa, as a “farmer from Iowa who never went to law school” — in the middle of Braley’s campaign for Senate in the state known for its agriculture industry.",contains-bias
Ms. Ernst said that qualified her to “cut pork” in Washington.,no-bias
"Last week, Rep. Ryan dismissed the bishops’ critique, erroneously claiming the letters didn’t represent “all the bishops,” a point the USCCB media office denied.",contains-bias
"The Disclose Act, part of the bill, would require super PACs and nonprofit organizations that spend money in elections to disclose the names of donors who contribute more than $10,000.",no-bias
Fellow St. Louis Tea Party organizer Dana Loesch accused the NAACP of morphing into a political organization.,no-bias
"WASHINGTON — E-mails released by the White House on Wednesday revealed a fierce internal jostling over the government’s official talking points in the aftermath of last September’s attack in Benghazi, Libya, not only between the State Department and the Central Intelligence Agency, but at the highest levels of the C.I.A.",no-bias
"The measure has sparked national backlash, with critics warning that the law provides legal justification for discrimination against LGBT individuals.",no-bias
"In a statement Friday, Mr. Sestak said Mr. Clinton had conveyed Mr. Emanuel’s suggestion that he join a “presidential board” while remaining in the House, but he declined.",no-bias
"“This all raised the question to us: What else are we missing, and what do we need to comply” with the request, said one official briefed on the matter.",no-bias
"Just this past June, the news magazine ran a computer generated image of Catherine, the new Duchess of Cambridge, walking alongside Princess Diana, who has been dead for nearly 14 years.",contains-bias
"Asked why Sayoc appeared to be targeting Democratic politicians and others critical of Trump, Attorney General Jeff Sessions said he didn’t know but that the suspect “appears to be a partisan”",no-bias
"In short, (Netanyahu's) a powerful messenger with a powerful message who the American people believe.”",contains-bias
"The bad guy sometimes wins.""",no-bias
"But they, too, planned to return, at least part time, to Washington, where Mrs. Biden teaches at a community college in the Virginia suburbs.",no-bias
Mr. Trump tried creative ways to persuade the Democrats that they should support his wall.,no-bias
"One Facebook user who lives near Austin, Tex., posted this status update:",no-bias
"Trump Attacks Justice Department As 'Deep State,' Calls For Jailing Top Clinton Aide",no-bias
"But the disclosure of the meeting indicated that private discussions continue in the face of Republican leaders’ public statements deploring the lack of progress and the president’s refusal so far to specify the sort of deep, long-term reductions in spending for social programs that they insist upon as a condition of their support for raising taxes on high earners.",no-bias
"“This is a recommendation for solutions, real solutions that will make our kids safer.",contains-bias
"Mary Cheney, openly lesbian and married to Heather Poe since 2012, reportedly posted to her personal page on the social media site: “For the record, I love my sister, but she is dead wrong on the issue of marriage.",no-bias
"As Texas governor, he directed funds to enforcement along the border and requested more National Guard troops from President Barack Obama.",no-bias
"“We don’t know enough facts, so why speculate?” Mr. Gowdy added.",no-bias
"Today, his fellow Missourians urged him to step aside, and I think he should accept their counsel and exit the Senate race.""",no-bias
"He and his wife, Sandra, had agreed to plead guilty in deals with federal prosecutors.",no-bias
"He did not, however, say specifically whether he would still be an active candidate by then, taking no questions from the press before heading over to a meeting with Senate Minority Leader Harry Reid.",no-bias
The pair is due to be arraigned in court on Thursday morning.,no-bias
"The first speaker who preceded him to the stage had no microphone, causing a delay; later on, she was booed when she disclosed that she was a Democrat.",no-bias
Investigators were likely relying on that system to pinpoint where some of the packages were mailed.,no-bias
"Beck didn't really name names - save for a swipe at one Republican (presumably Sen. John McCain) for admiring another Republican, Teddy Roosevelt -- the latter of whom Beck accused of launching the modern progressive movement.",no-bias
"When Mr. Trump formally announced during the spring of 2015 that he was running for president, Mr. Stone was one of the first to join his campaign.",no-bias
"Secretary of the Interior Ryan Zinke echoed Trump's comment in his own tweet, saying that he and the president had spoken and ""both believe that conservation & healthy herds are critical...the issuing of permits is put on hold...""",no-bias
"But we're not getting leadership,"" he said.",no-bias
"Blumenthal's campaign called a New York Times report which includes video of him at a 2008 event saying he had served ""in Vietnam"" an ""outrageous distortion"" on his record.",no-bias
"And he said 'I knew you'd say that,'"" before the conversation moved on to other subjects.",no-bias
Trump said in an interview with “Axios on HBO” taped Monday that he could execute the change via executive order.,no-bias
"Saturday’s speech grew out of talks that Vice President Mike Pence and the president’s son-in-law and senior adviser, Jared Kushner, have had in recent days with lawmakers including Senator Mitch McConnell, the majority leader.",no-bias
The inspector general report also criticized Strzok for his use of personal email to conduct FBI business.,no-bias
"""You are not supposed to worship your Constitution,"" he told the newspaper.",contains-bias
And it ought to boost growth by some increment...,no-bias
"The committee didn't recommend any specific kind of firearm for school security, Hutchinson said, adding, ""Everything from a sidearm, to a shotgun, to an AR-15"" would work.",no-bias
"Mrs. Clinton’s “email arrangement with herself is highly unusual, if not unprecedented,” the committee’s chairman, Representative Trey Gowdy, Republican of South Carolina, wrote in a letter to Mrs. Clinton’s lawyer Tuesday morning.",no-bias
"But Republican Sen. Lindsey Graham, R-S.C., called Biden’s absence “appalling and unacceptable.”",contains-bias
Mr. Rubio’s first priority will be to “adequately fund” the nation’s military.,no-bias
"Instead, Trump spent the first hour and a half of it complaining about a variety of issues, such as former Defense Secretary James Mattis’ performance and the late Sen. John McCain’s vote against Trump’s repeal of Obamacare, as well as offering his musings on such things as the utility of wheels and his desire for Russia to invade Afghanistan again.",contains-bias
"“We appreciate your willingness to talk about how Catholic social teaching can help inform effective policy in dealing with the urgent challenges facing our country,” the letter states.",no-bias
"Sen. Mitt Romney, R-Utah, whose views on the president and his policies have fluctuated, said Trump ""put forth a reasonable, good faith proposal that will reopen the government and help secure the border.""",contains-bias
"“We come here, and these members become our family,” Representative John Lewis, Democrat of Georgia, said at the Capitol before a game he had not intended to see.",no-bias
"On Wednesday, the Democratic Congressional Campaign Committee, House Democrats’ campaign arm, announced that Mr. Schiff would serve as a key fund-raiser for the caucus’s most vulnerable members to help put together a firewall to project the House majority.",no-bias
"“I will never stop believing in our country & its future,” she wrote.",no-bias
The National Rifle Association also plans to launch a major ad campaign.,no-bias
"As governor of Indiana, if I were presented a bill that legalized discrimination against any person or group, I would veto it.",no-bias
“So we’ll just have to see how it comes.”,no-bias
"The Republican governor has a long history of making controversial statements dating back to 2010 when he said if he were elected governor, he’d tell President Obama to “go to hell.”",contains-bias
“And I think we need to use whatever compulsory methods are necessary to get the information that he possesses.”,no-bias
"One would fund the Department of Homeland Security through Feb. 8, providing a month to break the impasse over border security funding, and a second would provide money for the remaining shuttered agencies and departments through September.",no-bias
Mr. Santorum also defended his criticism of a requirement in the president’s health-care policy that insurance companies to cover prenatal testing.,no-bias
A double dip recession?,no-bias
"“I don’t make a habit out of supporting people who attack my wife and attack my family,” Cruz said at a press conference after a Wisconsin rally, according to The Hill.",contains-bias
It is also the frankest acknowledgment yet by a top American official of the degree to which the controversy has damaged United States-Israeli relations.,contains-bias
"In March, Andrew G. McCabe, the former deputy director, was fired after the inspector general repeatedly faulted him for misleading investigators.",no-bias
