Type,News
Real,"Says Mitt Romney ""was director of a company that stole millions from Medicare."""
Real,Pasco County has the second highest population of homeless in all of Florida.
Real,"About 40 percent of U.S. illegal immigrants ""came in on an airplane, with a legal visa, and just overstayed their visa and have never gone home."""
Real,"Says Chris Christie ""inherited the highest taxes in America and the worst unemployment in the region."""
Real,"Gov. Lawton Chiles said ""if I were to become ... become speaker of the House it would be (his) worst nightmare."""
Real,(I) helped to invent a system that saved over a billion dollars on welfare.
Real,"Republican candidate for governor Allan Fung ""donated to Democrats like Congressman David Cicilline, disgraced (House) speaker Gordon Fox and even Mr. Obamacare, Harry Reid."""
Real,"More than 9,000 Rhode Island voters used the Moderate Party master lever mechanism and they didn't have a single Moderate on their ballot."
Real,"Eleven states complete their [legislative] sessions within three calendar months, and another five only meet biennially."
Real,"Food stamp spending ""doubled under President Bush, doubled again under President Obama."""
Real,"Says about NSA data collection: ""Every member in both parties who served on the Intelligence Committee voted in favor of this."""
Real,"The national economic recovery has led to higher than expected tax revenues and projected budget surpluses in nearly every state in the nation, including Wisconsin."
Real,"A ""majority in every state favors path to citizenship for undocumented immigrants."""
Real,"The region I represent, both currently and in the future, has more automotive plants than the entire state of California."
Real,The poorest in this country are women.
Real,Creeping defense commitments in (the Middle East) and globally now consume over half the U.S. discretionary budget annually.
Real,"Electric utility FirstEnergy's annual revenues are greater ""than the GDP of Haiti, Kyrgyzstan, Iceland, or 15 African nations."""
Real,States have cumulatively cut over $1.8 billion from their mental health services between 2009 and 2011. This is the largest reduction in state mental health services in half a century.
Real,Says Lake Erie contains more native fish than all the other Great Lakes combined.
Real,"Last year, Korea sold nearly half a million cars in our country. ... The United States, you know how much we sell to them? Six thousand. What kind of deal is that?"
Real,A gallon (of gasoline) delivered to the front lines for our troops in Afghanistan cost more than $400.
Real,"In Massachusetts, Scott Brown's Republican affiliation is ""not a secret, but clearly not on display."""
Real,"In Rhode Island, 28 percent of adults released from state prisons are re-incarcerated within a year."
Real,Twenty percent of housing in Portlands Pearl District is affordable.
Real,"Sharron Angle ""would eliminate the Department of Education."""
Real,"Since 1981, reconciliation has been used 21 times. Most of it's been used by Republicans."
Real,"Congress used earmarks ""for more than 200 years."""
Real,"The Koch brothers are ""the richest people in the world. Individually, they're only fifth. Put them together they're the richest in the world."""
Real,"In the history of the United States, 168 presidential nominees have been filibustered, 82 blocked under President Obama, 86 blocked under all the other presidents."
Real,President Obama has declared disasters in 48 of 50 states this year.
Real,Sharron Angle voted to protect sex offenders.
Real,Issue 2 makes it illegal for us to negotiate for enough firefighters to do the job.
Real,Hobby Lobby provided this (birth control) coverage before they decided to drop it to file suit.
Real,Providence graduation rates are up.
Real,"Providence teachers ""can go five or six years without an evaluation."""
Real,If our recovery were more typical of the postwar era . . . we would have 14 million more jobs today.
Real,"When I became president and CEO of Godfathers Pizza, it was supposed to go bankrupt . . . We turned it around with common-sense business principles."
Real,"The U.S. has ""47 million people on food stamps. Thats 14 million more than when the current occupant of the White House took over."""
Real,"For the second quarter in a row, my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over $800,000."
Real,"Says President Obama ""has fired more cruise missiles than all other Peace Prize winners combined."""
Real,In 2010 about 75 percent of child abuse and neglect reports in Oregon were made by those required to report by law.
Real,"Milwaukee has seen ""an uptick in violence"" since 2010, and ""the only period of calm we get is when winter sets in."""
Real,"A ""working woman"" will earn $7.70 on $10."
Real,"A DeKalb sewer project ""will create up to 4,000 direct jobs per year at peak production, many of which will be set aside exclusively for DeKalb residents."""
Real,"Last year, ""we saw the first reduction in the federal prison population in 32 years."""
Real,"After filing a lawsuit in Rhode Island, we reached an agreement with state agencies that resulted in more voters being registered in the first full month after our lawsuit than in the entire previous two-year reporting period."
Real,"Says recent studies indicate that nationally, only 8 percent of white voting-age citizens but 25 percent of African-American voting-age citizens lack government-issued photo IDs."
Real,"Texas prosecutor Rosemary Lehmberg purchased ""72 bottles of vodka in just one store alone, in just over a year."""
Real,Seven of the 10 highest-income counties in the country ring the city of Washington D.C.
Real,Says 1 in 7 American families is on food stamps.
Real,"Obama ""said (the individual mandate) wasn't a tax."""
Real,Says she condemned violence at a campaign stop in Arizona in March.
Real,We spend three times more on entitlements and debt services than we do on defense.
Real,"President Obama's proposal calls for serious cuts in our own long-term carbon emissions, but China and India will still be allowed to increase their emissions."
Real,"Obama has admitted a cap and trade plan would cause electricity bills to ""skyrocket."""
Real,Barack Obama ... 96 percent of his votes have been solely along party line.
Real,You ... said that Barack Obama was not ready to be commander in chief.
Real,That luxury jet was over the top. I put it on eBay.
Real,"Senate Majority Leader Harry Reid ""said, quote, 'I can't stand John McCain.' """
Real,"As governor, I've stood up to ... the big oil companies."
Real,"When oil and gas prices sent state revenues up, Palin sent ""a large share of that revenue directly back to the people of Alaska."""
Real,Americans now spend 100 days out of the year working for government before we even start working for ourselves.
Real,"The proposed excise tax on ""Cadillac"" health plans will hit ""those making less than $200,000"" the hardest."
Real,The Defense Department received only one-half of 1 percent of the nearly trillion-dollar stimulus package funding.
Real,"Job losses are so certain under this new cap-and-tax plan that it includes a provision accommodating newly unemployed workers from the resulting dried-up energy sector, to the tune of $4.2 billion over eight years. So much for creating jobs."
Real,Obama held one of the first meetings of his political career in Bill Ayers's home. And they've worked together on various projects in Chicago.
Real,"Sarah Palin was repeating ""Abraham Lincoln's words"" in discussing the war in Iraq."
Real,Georgia has recovered more than $60 million that was lost to Medicaid fraud
Real,Most voters prefer zombies to the current U.S. Congress.
Real,Bob Barr has changed his position on the Defense of Marriage Act over the years.
Real,Georgia has some of the highest gas taxes in the Southeast but one of the lowest taxes on gasoline for transportation in the nation.
Real,"As governor, [Mitt Romney] balanced the budget without raising taxes and created jobs."
Real,"Only 20 colleges and universities ""have athletic departments with revenue exceeding expenses."""
Real,"Says budget savings by reducing pay and benefits for federal employees total $103 billion over 10 years -- more than $50,000 per worker."
Real,American oil production is at its highest level since 2003.
Real,"We have a system now where in 40 states, the highest-paid public employee is the state universitys head football or basketball coach."
Real,"Says Virginia, Florida and Georgia are the three states that are the principal source for gun trafficking."
Real,"According to ATF data, 70 percent of firearms recovered and traced in drug cartel crimes in Mexico originated from the United States."
Real,The U.S. gun homicide rate is 20 times the combined rate of other western nations.
Real,"Over the past decade, the big five oil companies --- BP, Chevron, ConocoPhillips, ExxonMobil and Shell -- made a total profit of nearly $1 trillion."
Real,"The Bush-era tax cuts failed to increase employment and ""work-force participation fell in 2001 and has never returned to the record level set in 2000."""
Real,Fulton County has successfully reduced the number of pregnancies among 15- to 19-year-olds.
Real,"The judicial system is the most underfunded in this state, able to only pay 52 percent of its obligations. Meanwhile, judges get some of the richest pensions of all public employees."
Real,CBO reports that delaying the Obamacare individual mandate will reduce the deficit by $35 billion over ten years.
Real,[E]xcise tax increases drive commerce across state lines.
Real,"Worldwide credit card transactions, the credit card fraud rate is 0.04 percent, compared to almost 8 percent, 9 percent, 10 percent of Medicare fraud."
Real,The fastest-growing part of the Pentagons budget are health care expenses.
Real,Connecticut's take on slot machines is 25 cents on the dollar. And the state's take on table games: zero.
Real,"Seneca Jones Timber Co., aiming to increase logging and allay fears that old growth will be cut, says mills have shifted to second-generation trees. An ad from the company asks: ""Do you know that most all mills in Oregon have retooled over the past 20 years?"""
Real,"Ohio today has the ""fewest number of state employees since the Reagan administration."""
Real,The first professional baseball team was from an Ohio city.
Real,Education Week rates Ohio schools in the top five in the nation.
Real,Congress can tell [the Supreme Court] which cases they ought to hear. We have that authority.
Real,"The Employee Free Choice Act mandates the ""elimination of the secret ballot."""
Real,"Turkeys today weigh 29.8 pounds. In the 30s, they weighed 13.2 pounds."
Real,"There are ""approximately 20,000 annual gun purchases in Rhode Island."""
Real,"Of all cities in the United States with more than 100,000 people, Providence is the 183rd safest."
Real,Says states that passed anti-illegal-immigrant legislation also had few Hispanic legislators.
Real,The U.S. Supreme Court decided in 1982 that non-citizen children must get free K-12 education.
Real,"At present spending levels, only citizens of New York have a greater local debt burden than Texans."
Real,The Texas Department of Transportation... misplaced a billion dollars.
Real,Fourteen million Americans' mortgages are greater than the value of their homes.
Real,"The top 10 most well-paid CEOs in America received a combined $770 million in 2010, while the average American workers wage rose just 2 percent."
Real,"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations."
Real,Seventy of Ohio's 88 counties now have more than 25 percent of their residents eligible for emergency food.
Real,"The Bush tax cuts ""helped to create a substantial part of the deficit."""
Real,"Says none of the government programs targeted for elimination or severe cutback in House Republican spending plans ""appeared on the GAO's list of government programs at high risk of waste, fraud and abuse."""
Real,One of the biggest causes of our soaring debt and economic insecurity ends up being Pentagon spending. The budget for the Pentagon consumes more than half of our discretionary spending.
Real,The War in Afghanistan is officially the longest war Americans have ever been asked to endure.
Real,"Well, you know, the Teamsters wanted to drill in Alaska. I voted against drilling in Alaska. So it's not like I'm a slam dunk on every issue."
Real,Social Security ... is solid through about 2040 without any changes whatsoever.
Real,"Thirty-four percent of Hispanics don't have any health care at all, don't have any health insurance."
Real,"Says the tax code is effectively subsidizing ""the marketing efforts of fast food and junk food companies by as much as $19 billion over 10 years."""
Real,About 57 percent of registered Democrats in the new (9th Congressional) district come from my old district.
Real,Social Security didnt cause the debt crisis. Social Security had nothing to do with the debt crisis.
Real,"Says that before health care reform, one of every three health care dollars spent -- more than $800 billion a year -- didn't go for health care."
Real,"The Great Lakes Compact has a loophole. And the loophole is that while you cannot remove the water in a big transport, you can remove it in containers of 5.7 gallons or less."
Real,"I'm the first person who really took up the issue of the war. Four years ago I said that there was no proof that Iraq had weapons of mass destruction, and, actually... did an analysis which disproved the cause for the war."
Real,"From a standpoint of the county government, neither school system has received an increase in funding over the past six years."
Real,"A tax plan promoted by North Carolina Senate candidate Thom Tillis will ""overwhelmingly benefit the wealthy."""
Real,"North Carolina Republican Senate candidate Thom Tillis would let insurance companies ""deny coverage for pre-existing conditions."""
Real,We are amassing most of our military strength in a country where fewer than 100 members of al Qaeda remain.
Real,The governor having a meeting ... isn't covered by the open meetings act.
Real,"There are cities and counties in Georgia that dont have websites, and where elected officials dont have email addresses."
Real,"Says opponents of the health care law ""prevailed on our two main arguments"" to the U.S. Supreme Court."
Real,A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession.
Real,"The federal government owns 30 percent of the land in the 50 states, or about 650 million acres."
Real,I am a candidate. I have not withdrawn.
Real,Three courts have found the new health care law constitutional and two have found it unconstitutional.
Real,"Since 1990, in inflation-adjusted dollars, per-student funding of the (Florida) state university system from general revenue has dropped by about $4,000."
Real,"AIG has fully repaid the federal government ""plus a profit of more than $22 billion."""
Real,Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas' sales tax deduction a decade ago.
Real,"Over 80 percent of our trade deficit today is with countries that are not trade agreement partners, that are not level playing fields for the United States."
Real,"The poverty level in the Dallas school district ""is one of the highest in the country, higher than New York, Chicago, Los Angeles, Houston, Detroit and Newark."""
Real,"Of six Rhode Island tax-credit programs worth about $35 million, ""three companies got 90 percent of that -- CVS and two companies not even located in the state of Rhode Island."""
Real,"Rhode Island spends ""52 percent more per capita on human service programs than the national average."""
Real,"If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid."
Real,"We have dozens of districts that go for 150 to 200 miles, splitting counties, splintering cities and connecting areas that have very little in common."
Real,My campaign alone has created more jobs in the state of Rhode Island than Narragansett Beer.
Real,The budget I managed at the Department of Education was more than $60 million.
Real,"Says the 2010-11 New Hampshire budget ended with an $18 million surplus, while the Republican-led 2012-13 budget has a $40 million deficit."
Real,"Says Jennifer Horn, chairwoman of the N.H. Republican Party, owes $92,000 in back taxes."
Real,Mitt Romney is the first Massachusetts politician to run for president and not win the New Hampshire primary in a generation.
Real,"John McCain ""voted against the tax cuts of 2001 and 2003, wrongly claiming they helped only the rich."""
Real,"Pasco County schools have graduation rates ""substantially higher than the state average"" and dropout rates ""below the state average."""
Real,"Says a drug test can be performed for ""just $4 or $5."""
Real,Cobb County businesses have already been awarded contracts worth $250 million on construction of a new Braves stadium.
Real,"Says Chris Christie ""vetoed Planned Parenthood funding five times over the course of his governorship."""
Real,"The National Science Foundation awarded $700,000 to fund a climate change musical."
Real,Says the top 20 percent of income earners pay nearly 70 percent of all federal taxes.
Real,"During a town hall meeting on health care, ""ABC didn't even allow ads that opposed the president's health care plan to be aired."""
Real,"In 2010, the non-partisan Government Accountability Office found that only 6.5 percent of the U.S.-Mexico border was under full control of the Border Patrol."
Real,"Once people become citizens under the DREAM Act ""and turn 21, they can sponsor their illegal immigrant parents for legalization."""
Real,Illegal immigrants currently occupy 8 million jobs.
Real,"Thirty-eight states -- Georgia not included -- have appointed, rather than elected, state school superintendents."
Real,More than three women per day lose their lives at the hands of their partners.
Real,About 85 percent of hotel guests who will pay the new $5 hotel/motel fee will be from outside Georgia.
Real,"Taxpayers earning $1 million pay an effective tax rate that is about four times what taxpayers earning $100,000 pay."
Real,Ted Cruz has been to Iowa four times. Rio Grande Valley of Texas -- just once.
Real,"At Twin River, ""we're more than competitive"" with nearby casinos in slot machine payouts."
Real,Measles is one of the most common causes of child blindness worldwide.
Real,"Oregonians have an ""amazing no-cost way to fight abortion"" with free political donations"
Real,"Assault weapons and handguns are allowed in the state Capitol while bullhorns, trumpets, helium balloons and flags on poles are banned."
Real,"Says ""by 4th grade, 86 percent of African-American boys and 82 percent (of) Hispanic boys are reading below proficiency levels."""
Real,Eighty percent of the antibiotics in this country are fed to livestock.
Real,Oil companies can obtain an acre of public land for less than the price of a Big Mac.
Real,The U.S. representatives that voted to keep militarizing the police received 73 percent more campaign money from the defense industry than the representatives who voted to stop it.
Real,"In 1968, a full-time worker earning minimum wage, could actually support a family of three above the poverty line. Today, that same worker would earn less than the poverty line for a family of two."
Real,"From 1947 to 1979, family incomes for rich, middle-income and poor Americans grew about the same rate. But since 1979, incomes for rich families have grown much faster."
Real,"Says Scott Walker's views on abortion are more restrictive ""than any Republican president in recent times."""
Real,"Over 3 million Americans are employed in the growing green-collar workforce, which is more than the number ""of people working in the fossil fuel industry."""
Real,"Federal law adopted ""under Tommy Thompson's watch"" prohibits the government from negotiating for ""better prices"" on prescription drugs for senior citizens"
Real,There are more members of the U.S. Senate than the number of WI families who would benefit from GOP estate tax break.
Real,"Says ""Tommy Thompson's tax plan amounts to an average tax cut of almost $87,000 for the top 1 percent."""
Real,"Uncompensated care has ""gone down by 30 percent just in the first few months"" of Medicaid expansion in the states that adopted it."
Real,"The federal government is now on track for the second-largest budget deficit ""in 65 years."""
Real,"When Social Security started, age expectancy for the average man was 58. It was 62 -- 62 for women."
Real,"To comply with non-discrimination laws, the government is ""forcing people in business to make wedding cakes"" for anyone."
Real,"Sixty-four percent of Americans support the Arizona immigration law.''	More Americans agree with Beck	/truth-o-meter/statements/2010/jun/03/glenn-beck/glenn-beck-says-president-obama-out-step-nation-ar/	
Glenn Beck	2	Every time somebody new gets the Ebola virus, it mutates."""
Real,Every student paying out-of-state tuition actually covers more than the cost of instruction.
Real,"Says Rick Perry ""supported a guest worker program to help people who would otherwise be illegal aliens."""
Real,I am the only senator who turned down the state pension plan for part-time legislators.
Real,"When you get a commercial pilots license, you learn to communicate in English no matter where you are in the world."
Real,An illegal immigrant who gains admission at a public college takes class space away from students who are legal residents.
Real,"Maurice Ferre says Kendrick Meek ""has voted 98.6 percent of the time with the Democrat party."""
Real,"Mitt Romney ""gave away his father's inheritance."""
Real,"Says President Barack Obama promised a ""pathway to citizenship"" to undocumented immigrants and ""didn't deliver jack squat on any of it."""
Real,A couple of hundred American cities are infested by members of the Mexican cartels.
Real,The highest paid employee of the State of Rhode Island is a basketball coach.
Real,"Says Madison Mayor Paul Soglin's stated intent when proposing that city contractors disclose private political donations was to ""discourage contributions to organizations with which he disagrees."""
Real,"Democrats already agreed to ""a deal that Republicans wanted, that Eric Cantor said would be a win."""
Real,"Mark Warner voted for ""nearly $1 trillion in new taxes and $7 trillion in new debt."""
Real,Obamacare passed by just one vote in the Senate. It wouldnt have passed without Mark Warners vote.
Real,"Under President George W. Bush, the U.S. had ""52 months of ... uninterrupted job creation"" and ""revenues were at an all-time high in 2007."""
Real,"Says ""Your kid just ate 16 packs of sugar."""
Real,The only time in our history when the debt has been higher than this was the end of World War II.
Real,Says she is co-owner of Celilo Group Media.
Real,"Says she ""brought together business, labor and hospitals to give 94,000 Oregon children health care."""
Real,Odd fact for odd draft: No. 2 overall pick will earn more than the No. 1 pick due to no state tax in Florida. So 2 not so bad.
Real,Jim Renacci tried to avoid paying taxes on nearly $14 million that he made.
Real,"Every day in the United States, we are losing 15 factories."
Real,Lake Erie supports nearly 10 percent of Ohio's jobs and generates $750 million in state and local taxes.
Real,"Says Tom Ganley has been ""sued over 400 times, for fraud, discrimination and more,"" and ""a judge called Tom Ganley's business practices ""deceptive and unconscionable."""
Real,"Says 21 million people ""still suffer slavery today."""
Real,"In President Barack Obamas 2015 State of the Union address, ""the words al-Qaida were never used, the first time those words have not been used in a State of the Union address since February 2001."""
Real,"The last three days of early voting ""happen to be the most populated days of voting that we have in early voting."""
Real,You can buy lobster with food stamps.
Real,"In Oregon, students are skipping math class to learn about the Bible."
Real,Manufacturing wages today in America on a per-hour basis are actually a bit lower than average wages in the economy as a whole.
Real,"The United States is ""behind many countries in Europe in terms of the ability of every kid in America to get ahead."""
Real,"Says that when he first ran for office in the late 1980s, ""there were still folks who didn't have phone service. Soon I'd helped ensure that everyone in North Florida could access a dial tone."""
Real,"He (Kirk) did violate Pentagon rules, twice actually, for improperly mingling politics with his military service."
Real,"In 2011, our state-run lottery funded New Jersey classrooms by over $930 million."
Real,"Currently, there is no one from South Austin on the (Austin City) Council!"
Real,John McCain says it's okay with him if the U.S. spends the next thousand years in Iraq.
Real,Florida is 49th in per capita spending on mental health care.
Real,Almost 1 million children ... have no health insurance in this state.
Real,"Recovery.gov listed congressional districts that ""do not exist."""
Real,Texas had the worst voter participation in the country in the November 2014 elections.
Real,Knopp says he upheld a campaign promise not to join the Public Employees Retirement System (PERS).
Real,The marijuana that kids are smoking today is not the same as the marijuana that Jeb Bush smoked 40 years ago.
Real,"Says Donald Trump has ""changed his mind"" on abortion."
Real,"Rep. Peter Petrarca ""voted on two pieces of legislation that helped auto body shops  and at that point I think there is a conflict of interest."""
Real,"The president has added close to 68,000 troops in the last year, since he came into office, not just the 30,000 you hear, but the others that were added before that."
Real,"Other states have considered or have sunset advisory commissions; the federal government has the ability, too."
Real,"Ronald Reagan ""raised taxes in 1982, 1984, 1985, 1986 and 1987."""
Real,America owns 3 percent of the worlds oil but consumes 25 percent of its global reserves.
Real,"A bill to eliminate Delta Air Lines jet fuel tax breaks ""violates federal law and puts the state at risk of losing critical funding from the Federal Aviation Administration."""
Real,Georgia has one of the nations highest jet fuel taxes.
Real,Wholly domestic communication between you and your wife can go to New York to London and back and get caught up in the (NSA) database.
Real,"Says ""Portland has higher standards than feds on allowed police use of force."""
Real,"Says ""only 18 percent of Portland elementary schools have art instruction compared to 83 percent nationally."""
Real,Four out of 10 homicides are committed by gun in this city.
Real,"Says ""TriMet's own analysis shows that YouthPass does not actually add to the transit agency's costs."""
Real,"Says ""for the equivalent cost of a single mile of freeway, we have a bike infrastructure."""
Real,Senators who have accepted millions in campaign contributions from the financial industry voted against allowing bankruptcy judges to modify home mortgages.
Real,"McCain sought the political support of minister John Hagee, ""who believes Hurricane Katrina was God's punishment for gay rights and called the Catholic Church 'the Antichrist' and a 'false cult.'"""
Real,"John McCain voted against establishing a national holiday in honor of Dr. Martin Luther King, Jr."
Real,McCain opposes a woman's right to choose.
Real,The Children's Defense Fund rated McCain as the worst senator in Congress for children.
Real,"Central Health ""is the only hospital district in Texas that spends taxpayer dollars on abortions."""
Real,The top 1 percent (of income earners) paid 36.7 percent (of the taxes). ... The top 50 percent pay 97.7 percent.
Real,"The federal debt is more than $14 trillion, ""almost equal to the size of our entire economy,"" and ""every child born today inherits a $45,000 share of the national debt before they take their first breath."""
Real,"Democratic Party candidates for the state Assembly ""actually received 200,000 more votes statewide"" than their Republican counterparts in the 2012 election"
Real,"State Sen. Alberta Darling ""voted to add more than $1 billion in additional spending"" while cutting programs such as education and health care"
Real,"Says Sen. Kay Hagan ""has missed half of the (Senate Armed Services) Committee's hearings in 2014."""
Real,We Really Do Have the Highest Corporate Tax Rate in the World.
Real,Says Oregon ranks 43rd in education.
Real,"In the U.S., ""African-Americans continue to be arrested at nearly three and one half times the rate of whites"" on marijuana charges."
Real,"Since 2000, only 10 cases of in-person voter fraud have been proven nationally."
Real,"The deficit this year could pay ""all of the 2013 salaries of every professional baseball player for the next 248 years."""
Real,"Under President George W. Bush, ""we added $4.9 trillion to the debt. Under President Obama  weve added $6.5 trillion to the debt."""
Real,"Mental health provisions related to mass shootings ""got over 90 votes in the Senate."""
Real,"Says of 80,000 people who were denied a firearm in 2012 due to a failed background check, only 44 were prosecuted."
Real,"When total Sandy spending is added up, it's more than the annual budget for the U.S. Department of Homeland Security. And it's more than twice the annual budget of the U.S. Energy Department."
Real,"Under President Bush in eight years, we added $4.9 trillion to the debt. Under President Obama, we've added $5.3 trillion to the debt in the 3.5 years he's been in office."
Real,Says Virginia is the biggest state that does not have a major league sports team.
Real,"For every week that (state lawmakers are) able to cut off our timeline, it saves (Georgia taxpayers) approximately $100,000."
Real,"Savannah is home to ""the fastest-growing port in the nation."""
Real,Georgia lawmakers balanced the budget without raising taxes on residents.
Real,"Says President Barack Obama ""has taken 92 days of vacation since he was sworn in,"" compared to 367 for President George W. Bush at the same point in his presidency."
Real,"Women in Oregon are paid 79 cents for every dollar paid to men. If the wage gap was eliminated, a working woman in Oregon would have enough money for 2,877 gallons of gas, 72 more weeks of food for her family or nearly 12 more months of rent."
Real,There are actually only 30 countries that practice birthright citizenship.
Real,I ended up my time as governor with a general fund budget that was smaller than the one I started with.
Real,"Says when he was governor,""we expanded participation in Virginia in early childhood programs by nearly 40 percent."""
Real,"The national debt increased $16,000 every secondGeorge Allen served in theU.S. Senate."
Real,"Virginia was named ""best managed state, best state for business and best state toraise a child"" while I was governor."
Real,Every president since Eisenhower has taken executive action to address immigration issues.
Real,"Pinnacle Overlook in Southwest Virginia is ""closer to eight other state capitals than to Richmond."""
Real,"Bill Clinton presided over ""the biggest expansion of the American economy since World War II."""
Real,"As governor, I cut $5 billion in spending."
Real,"George Allen ""voted to end Pell Grants for 84,000 students."""
Real,Says former Sen. George Allen voted four times to raise his own pay.
Real,"Virginia women earn""only 79 cents to each dollar earned by men..."""
Real,Weve now gained private sector jobs 12 months in a row.
Real,"Under former President George W. Bushs administration ""while the population in that period grew by 10 percent, the number of jobs in the nation grew by 1 percent."""
Real,"Republican plan to extend Bush tax cuts ""would double deficit projections going forward for the next couple of decades."""
Real,"Says ""10 days after Hurricane Katrina, this chamber passed two separate bills amounting to $60 billion. It has been nearly two months since we had Superstorm Sandy, and nothing has passed."""
Real,"When (Joe Kyrillos) had an opportunity to vote for women in terms of their health care, not once, not twice, but six times, he voted against womens health care in our state."
Real,"Says under federal law ""we do not have any limitation on the number of guns and bullets we can buy."""
Real,"Says the United States ""actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949."""
Real,Says Obama administration delay of health care law's employer mandate affects about 1 percent of the American workforce.
Real,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin."
Real,"Says Paul Ryans budget would turn Medicare into a ""voucher."""
Real,There will be no public funding for abortion in this legislation.
Real,"While Exxon Mobil has 40 pages on its media response strategy, its plan for resource protection is only five pages long and its plan for oil removal is just nine pages long."
Real,"Water transportation is the most fuel efficient, least polluting, safest, and least expensive means of moving cargo."
Real,"In the 18th Congressional District, 100% of electric generation comes from coal."
Real,"If Obamacare is fully implemented, 30 million people will still be without health insurance."
Real,"Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry."
